rabbit watch - BILL OF MATERIALS,
4/13/2015,
,
TOP SIDE,
No,Part Name,Qty,Manufacturer,Part Number,Distributor,Distributor Part Number,Unit Price,Footprint,Type,Components,
1,Crystal 32kHz,1,Abracon Corporation,ABS05-32.768KHZ-9-T,Digi-Key,535-11897-1-ND,$1.6,SMD-2-1.6x1,SM,X1,,
2,SAMD21E,1,ATMEL,ATSAMD21E15A-AUT,Digi-Key,ATSAMD21E15A-AUTCT-ND,$3.36,QFN-32,LL,U2,,
3,C 0.1uF,4,TDK Corporation,C0603X5R1A104K030BC,Digi-Key,445-7318-1-ND,$0.0151,0201,SM,C2 C6 C7 C10,,
4,C 10uF,2,Samsung,CL05A106MQ5NUNC,Digi-Key,1276-1451-1-ND,$0.2163,0402-tight,SM,C1 C5,,
5,C 12pF,2,TDK,C0603C0G1E120J030BA,Digi-Key,445-4653-1-ND,$0.1,0201,SM,C3 C4,,
6,C 1uF,1,TDK Corp,C0603X5R0J105M030BC,Mouser,810-C0603X5R0J105M,$0.118,0201,SM,C8,,
7,C 47uF,1,Samsung,CL21A476MQCLRNC,Digi-Key,1276-2420-1-ND,$0.433,0805-tight,SM,C9,,
8,Phototransistor,1,Fairchild Semi,KDT00030TR,Digi-Key,KDT00030FSTR-ND,$0.60,PLCC-2,SM,Q5,,
9,LED - Orange,60,Lumex,SML-LX0402SOC-TR,Digi-Key,67-1879-1-ND,$0.259,0402p-tight,SM,LED0 LED1 LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13 LED14 LED15 LED16 LED17 LED18 LED19 LED20 LED21 LED22 LED23 LED24 LED25 LED26 LED27 LED28 LED29 LED30 LED31 LED32 LED33 LED34 LED35 LED36 LED37 LED38 LED39 LED40 LED41 LED42 LED43 LED44 LED45 LED46 LED47 LED48 LED49 LED50 LED51 LED52 LED53 LED54 LED55 LED56 LED57 LED58 LED59,,
10,Sensor - Accel,1,ST Micro,LIS2DH12TR,Digi-Key,497-14851-1-ND,$1.86,LGA-12,LL,U1,,
11,R 10k,2,Panasonic,ERJ-1GEJ103C,Digi-Key,P10KAGCT-ND,$0.0263,0201,SM,R1 R6,,
12,R 1k,1,Panasonic,ERJ-1GEF1001C,Digi-Key,http://www.digikey.com/product-detail/en/ERJ-1GEF1001C/P1.00KABCT-ND/525077,$0.0263,0201,SM,R2,,
13,R 4.7k,2,Panasonic,ERJ-1GEF4701C,Digi-Key,P4.70KABCT-ND,$0.0315,0201,SM,R4 R5,,
,
Components on TOP:,,79,
,
BOTTOM SIDE,
No,Part Name,Qty,Manufacturer,Part Number,Distributor,Distributor Part Number,Unit Price,Footprint,Type,Components,
14,CR2032 Retainer,1,Linx,BAT-HLD-001,Digi-Key,BAT-HLD-001-ND,$0.27,BAT-HLD-001,SM,BAT1,,
15,Button,1,Panasonic,EVP-AVAA1A,Digi-Key,P16849CT-ND,$0.77,EVPAV,SM,S1,,
16,TEST,5,,,,,$,1x TP SM,DNI,TP1 TP2 TP3 TP4 TP5,,
,
Components on BOTTOM:,,7,
,
ASSOCIATED PARTS,
No,Part Name,Qty,Manufacturer,Part Number,Distributor,Distributor Part Number,Unit Price,Footprint,Type,Components,
17,CR2032,1,Panasonic,CR2032,Digi-Key,P189-ND,$0.28,,DNI,,
,
Associated Parts:,,1,
